Num of Trials, Bloocksize, Performance(Megatrials/second), Probability
1024 ,        8 ,    30.3030 ,  27.73
1024 ,       32 ,    31.2500 ,  26.07
1024 ,       64 ,    29.4118 ,  25.68
1024 ,      128 ,    30.3030 ,  25.78
4096 ,        8 ,   117.6471 ,  26.32
4096 ,       32 ,   117.6471 ,  26.78
4096 ,       64 ,   121.2121 ,  28.86
4096 ,      128 ,   121.2121 ,  26.25
16384 ,        8 ,   444.4444 ,  26.57
16384 ,       32 ,   470.5882 ,  27.29
16384 ,       64 ,   470.5882 ,  26.43
16384 ,      128 ,   470.5882 ,  26.68
65536 ,        8 ,  1389.4165 ,  26.77
65536 ,       32 ,  1737.0653 ,  26.71
65536 ,       64 ,  2085.5397 ,  27.04
65536 ,      128 ,  1858.4392 ,  26.93
262144 ,        8 ,  2832.6419 ,  26.87
262144 ,       32 ,  4686.4988 ,  26.84
262144 ,       64 ,  4815.9905 ,  26.95
262144 ,      128 ,  4710.7534 ,  26.87
1048576 ,        8 ,  4000.4885 ,  26.85
1048576 ,       32 ,  9489.7191 ,  26.98
1048576 ,       64 ,  9691.8074 ,  26.88
1048576 ,      128 ,  9660.3774 ,  26.88
2097152 ,        8 ,  4342.7208 ,  26.88
2097152 ,       32 , 11153.1653 ,  26.89
2097152 ,       64 , 11876.7667 ,  26.88
2097152 ,      128 , 12093.7441 ,  26.91